date,Product A,Product B,Product C,Product D,Product E,Product F,daily_sum,CRM,Direct,Facebook,Google Ads,Organic search,Referral
2021-09-22,9382,3351,118,33408,509,89,46857,2320,1095,3630,31382,3577,93
2021-09-23,9794,4160,128,59125,615,84,73906,11475,1236,3410,36682,4386,87
2021-09-24,6597,3873,125,34650,518,103,45866,2524,982,3109,31960,3636,73
2021-09-25,7921,2635,81,30233,425,62,41357,1704,831,3435,25915,2861,46
2021-09-26,8675,2682,102,34948,528,45,46980,1882,914,4031,28477,3287,53
2021-09-27,12962,4312,159,39148,640,93,57314,5768,1234,4475,37746,4446,116
2021-09-28,9565,3930,110,49452,596,73,63726,1859,1124,4220,35425,4061,92
2021-09-29,10306,3582,141,43766,608,83,58486,7040,1091,4175,34385,4004,73
2021-09-30,14211,3690,119,34219,489,90,52818,7658,1136,3624,32637,3467,79
2021-10-01,10190,3437,109,30497,641,77,44951,2208,1070,4072,30698,3152,79
2021-10-02,7594,2008,84,19520,452,61,29719,921,736,3005,20744,2139,43
2021-10-03,9268,2555,100,33364,611,77,45975,1436,1072,4187,26889,2791,49
2021-10-04,10334,4261,125,48804,828,135,64487,6603,1138,5474,37926,4181,133
2021-10-05,8193,3698,89,42757,660,117,55514,2507,631,4057,34385,3929,89
2021-10-06,9928,3266,93,43432,718,102,57539,8944,730,5364,33241,4019,86
2021-10-07,7766,2622,71,27958,614,87,39118,2412,562,3095,26538,3314,77
2021-10-08,9508,2823,90,27039,590,97,40147,3288,609,2634,26935,3715,64
2021-10-09,8255,2165,79,23582,602,68,34751,1609,468,2790,24304,2927,61
2021-10-10,7518,1977,97,23997,499,60,34148,1251,646,3772,22081,2979,170
2021-10-11,10692,3401,120,41583,751,94,56641,6672,806,5937,33230,4807,89
2021-10-12,9443,3262,107,36110,730,190,49842,2497,711,5888,32277,4509,106
2021-10-13,13756,3219,108,34703,674,100,52560,6079,802,4576,33172,4341,96
2021-10-14,10022,3979,105,35996,709,93,50904,2848,747,4930,34627,4393,105
2021-10-15,11445,3407,90,33550,670,98,49260,3953,722,4327,32897,4175,66
2021-10-16,7383,1993,68,25486,471,46,35447,1318,493,4291,21555,2598,62
2021-10-17,9195,2392,91,38155,652,59,50544,1953,599,6520,29707,3384,88
